HospType,ED,Trauma,NSG,FAC_NAME,state,city,PRVDR_NUM,street,zipcode,query,lon,lat,type,loctype,address,north,south,east,west
Short term,TRUE,FALSE,FALSE,FAITH HOSPITAL,AK,GLENALLEN,020016,187 GLENN HWY (P O BOX 5),99588,"FAITH HOSPITAL near GLENALLEN, AK 99588",-145.5404662,62.10907530000001,establishment,rooftop,"187 glenn hwy, glennallen, ak 99588, usa",62.11042428029151,62.1077263197085,-145.5391172197085,-145.5418151802915
Short term,TRUE,TRUE,FALSE,YUKON KUSKOKWIM DELTA REG HOSPITAL,AK,BETHEL,020018,PO BOX 287,99559,"YUKON KUSKOKWIM DELTA REG HOSPITAL near BETHEL, AK 99559",-161.7873258,60.78792060000001,establishment,rooftop,"700 chief eddie hoffman hwy, bethel, ak 99559, usa",60.78926958029151,60.7865716197085,-161.7859768197085,-161.7886747802915
Short term,TRUE,FALSE,FALSE,BRISTOL BAY AREA HEALTH CORP,AK,DILLINGHAM,020021,PO BOX 130,99576,"BRISTOL BAY AREA HEALTH CORP near DILLINGHAM, AK 99576",-158.5368215,59.0006067,establishment,rooftop,"6000 kanakanak rd, dillingham, ak 99576, usa",59.0019556802915,58.99925771970849,-158.5354725197085,-158.5381704802915
Short term,TRUE,FALSE,FALSE,VALDEZ COMMUNITY HOSPITAL,AK,VALDEZ,020025,911  MEALS AVENUE (P O BOX 550),99686,"VALDEZ COMMUNITY HOSPITAL near VALDEZ, AK 99686",-146.3458866,61.13647810000001,establishment,rooftop,"911 meals ave, valdez, ak 99686, usa",61.13782708029151,61.13512911970849,-146.3445376197085,-146.3472355802915
Critical Access,TRUE,TRUE,FALSE,PROVIDENCE VALDEZ MEDICAL CENTER,AK,VALDEZ,021301,PO BOX 550,99686,"PROVIDENCE VALDEZ MEDICAL CENTER near VALDEZ, AK 99686",-146.3458866,61.13647810000001,establishment,rooftop,"911 meals ave, valdez, ak 99686, usa",61.13782708029151,61.13512911970849,-146.3445376197085,-146.3472355802915
Critical Access,TRUE,FALSE,FALSE,PETERSBURG MEDICAL CENTER,AK,PETERSBURG,021304,PO BOX 589,99833,"PETERSBURG MEDICAL CENTER near PETERSBURG, AK 99833",-132.9554619,56.8128691,establishment,rooftop,"103 fram st, petersburg, ak 99833, usa",56.814218080291496,56.8115201197085,-132.9541129197085,-132.9568108802915
Critical Access,TRUE,FALSE,FALSE,CORDOVA COMMUNITY MEDICAL CENTER,AK,CORDOVA,021307,PO BOX 160 - 602 CHASE AVENUE,99574,"CORDOVA COMMUNITY MEDICAL CENTER near CORDOVA, AK 99574",-145.750531,60.54133539999999,establishment,rooftop,"602 chase ave, cordova, ak 99574, usa",60.5426843802915,60.53998641970848,-145.7491820197085,-145.7518799802915
Critical Access,TRUE,FALSE,FALSE,NORTON SOUND REGIONAL HOSPITAL,AK,NOME,021308,1000 GREG KRUSCHEK AVENUE (P O BOX 966),99762,"NORTON SOUND REGIONAL HOSPITAL near NOME, AK 99762",-165.3784042,64.4992304,establishment,rooftop,"1000 greg kruschek avenue, nome, ak 99762, usa",64.50057938029151,64.4978814197085,-165.3770552197085,-165.3797531802915
Critical Access,TRUE,FALSE,FALSE,MANIILAQ HEALTH CENTER,AK,KOTZEBUE,021310,PO BOX 43,99752,"MANIILAQ HEALTH CENTER near KOTZEBUE, AK 99752",-162.5868698,66.8961387,establishment,rooftop,"436 5th ave, kotzebue, ak 99752, usa",66.8974876802915,66.89478971970848,-162.5855208197085,-162.5882187802915
Short term,TRUE,FALSE,FALSE,SAGE MEMORIAL HOSPITAL,AZ,GANADO,030004,PO BOX 457,86505,"SAGE MEMORIAL HOSPITAL near GANADO, AZ 86505",-109.5435396,35.710794,establishment,geometric_center,"us-191 & az-264, ganado, az 86505, usa",35.7121429802915,35.7094450197085,-109.5421906197085,-109.5448885802915
Short term,TRUE,FALSE,FALSE,FORT DEFIANCE INDIAN HOSPITAL,AZ,FORT DEFIANCE,030071,PO BOX 649,86504,"FORT DEFIANCE INDIAN HOSPITAL near FORT DEFIANCE, AZ 86504",-109.0483992,35.759317,establishment,rooftop,"corner of routes n12 &, n7, fort defiance, az 86504, usa",35.7606659802915,35.7579680197085,-109.0470502197085,-109.0497481802915
Short term,TRUE,FALSE,FALSE,HU HU KAM MEMORIAL HOSPITAL,AZ,SACATON,030076,PO BOX 38,85247,"HU HU KAM MEMORIAL HOSPITAL near SACATON, AZ 85247",-111.7591372,33.0730133,establishment,rooftop,"483 w seed farm rd, sacaton, az 85147, usa",33.0743622802915,33.0716643197085,-111.7577882197085,-111.7604861802915
Short term,TRUE,TRUE,FALSE,ST LUKES BEHAVIORIAL HEALTH CENTER,AZ,PHOENIX,030082,PO BOX 13609,85006,"ST LUKES BEHAVIORIAL HEALTH CENTER near PHOENIX, AZ 85006",-112.0423562,33.4544851,establishment,rooftop,"1800 e van buren st, phoenix, az 85006, usa",33.4558340802915,33.4531361197085,-112.0410072197085,-112.0437051802915
Short term,TRUE,FALSE,FALSE,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,AZ,CHINLE,030084,"US HWY 191, HOSPITAL ROAD",86503,"CHINLE COMPREHENSIVE HEALTH CARE FACILITY near CHINLE, AZ 86503",-109.6076963,36.1575812,establishment,geometric_center,"u.s. 191 & hospital drive, chinle, az 86503, usa",36.15893018029149,36.15623221970849,-109.6063473197085,-109.6090452802915
Critical Access,TRUE,TRUE,FALSE,WHITERIVER PHS INDIAN HOSPITAL,AZ,WHITERIVER,031306,PO BOX 860,85941,"WHITERIVER PHS INDIAN HOSPITAL near WHITERIVER, AZ 85941",-109.9577386,33.8758829,establishment,rooftop,"200 w hospital dr, whiteriver, az 85941, usa",33.8772318802915,33.8745339197085,-109.9563896197085,-109.9590875802915
Critical Access,TRUE,FALSE,FALSE,PARKER INDIAN HEALTH CENTER,AZ,PARKER,031307,12033 AGENCY ROAD,85344,"PARKER INDIAN HEALTH CENTER near PARKER, AZ 85344",-114.3019643,34.14732,establishment,rooftop,"12033 w agency ave, parker, az 85344, usa",34.1486689802915,34.1459710197085,-114.3006153197085,-114.3033132802915
Critical Access,TRUE,FALSE,FALSE,FT YUMA PHS INDIAN HOSPITAL,AZ,YUMA,031310,PO BOX 1368,85366,"FT YUMA PHS INDIAN HOSPITAL near YUMA, AZ 85366",-114.6165392,32.7366528,establishment,rooftop,"401 east picacho rd, winterhaven, ca 92283, usa",32.7380017802915,32.7353038197085,-114.6151902197085,-114.6178881802915
Short term,TRUE,TRUE,TRUE,WASHINGTON REGIONAL MEDICAL CENTER,AR,FAYETTEVILLE,040004,3215 N NORTH HILLS BOULEVARD,72703,"WASHINGTON REGIONAL MEDICAL CENTER near FAYETTEVILLE, AR 72703",-94.1593777,36.1096451,establishment,rooftop,"3215 n northhills blvd, fayetteville, ar 72703, usa",36.1109940802915,36.1082961197085,-94.1580287197085,-94.1607266802915
Short term,TRUE,TRUE,FALSE,CRITTENDEN MEMORIAL HOSPITAL,AR,WEST MEMPHIS,040042,200 TYLER,72301,"CRITTENDEN MEMORIAL HOSPITAL near WEST MEMPHIS, AR 72301",-90.18768399999999,35.1441909,doctor,rooftop,"200 w tyler ave, west memphis, ar 72301, usa",35.1455398802915,35.1428419197085,-90.18633501970848,-90.1890329802915
Short term,TRUE,FALSE,FALSE,DELTA MEMORIAL HOSPITAL ASSOCIATION,AR,DUMAS,040053,300 EAST PICKENS,71639,"DELTA MEMORIAL HOSPITAL ASSOCIATION near DUMAS, AR 71639",-91.4804101,33.8732898,establishment,rooftop,"811 us-65, dumas, ar 71639, usa",33.87463878029151,33.87194081970851,-91.47906111970849,-91.48175908029151
Short term,TRUE,FALSE,FALSE,ST MICHAEL HOSPITAL OF TEXARKANA,AR,TEXARKANA,040063,SIXTH AND HAZEL STREETS PO BOX 1140,75502,"ST MICHAEL HOSPITAL OF TEXARKANA near TEXARKANA, AR 75502",-94.07452930000001,33.4635719,doctor,rooftop,"2600 st michael dr, texarkana, tx 75503, usa",33.46492088029149,33.46222291970849,-94.07318031970851,-94.07587828029152
Short term,TRUE,FALSE,FALSE,BUFFALO ISLAND COMMUNITY HOSPITAL,AR,MANILA,040123,912 DAVIS,72442,"BUFFALO ISLAND COMMUNITY HOSPITAL near MANILA, AR 72442",-90.1670393,35.8800733,locality,approximate,"manila, ar 72442, usa",35.9017951,35.869087,-90.1413599,-90.18499779999999
Short term,TRUE,FALSE,FALSE,ARKANSAS SURGICAL HOSPITAL,AR,NO LITTLE ROCK,040147,5201 NORTH SHORE DRIVE,72118,"ARKANSAS SURGICAL HOSPITAL near NO LITTLE ROCK, AR 72118",-92.3485444,34.8002051,establishment,rooftop,"5201 northshore dr, north little rock, ar 72118, usa",34.8015540802915,34.7988561197085,-92.34719541970848,-92.34989338029149
Short term,TRUE,FALSE,FALSE,WHITE MEMORIAL MEDICAL CENTER,CA,LOS ANGELES,050103,1720 E CESAR AVENUE,90033,"WHITE MEMORIAL MEDICAL CENTER near LOS ANGELES, CA 90033",-118.218081,34.0487823,establishment,rooftop,"specialty care tower, ground floor, 1720 east cesar e chavez avenue, los angeles, ca 90033, usa",34.0501312802915,34.0474333197085,-118.2167320197085,-118.2194299802915
Short term,TRUE,TRUE,TRUE,UNIVERSITY OF CALIFORNIA IRVINE MED CENTER,CA,ORANGE,050348,101 CITY DRIVE SOUTH,92868,"UNIVERSITY OF CALIFORNIA IRVINE MED CENTER near ORANGE, CA 92868",-117.8887239,33.7871702,establishment,rooftop,"101 the city dr s, orange, ca 92868, usa",33.78851918029149,33.7858212197085,-117.8873749197085,-117.8900728802915
Short term,TRUE,FALSE,FALSE,COAST PLAZA HOSPITAL,CA,NORWALK,050771,13100 STUDERBAKER ROAD,90650,"COAST PLAZA HOSPITAL near NORWALK, CA 90650",-118.0986084,33.9122427,establishment,rooftop,"13100 studebaker rd, norwalk, ca 90650, usa",33.9135916802915,33.9108937197085,-118.0972594197085,-118.0999573802915
Short term,TRUE,FALSE,FALSE,CONEJOS COUNTY HOSPITAL,CO,LA JARA,060060,19021 STATE HWY 285 SOUTH   PO BOX 639,81140,"CONEJOS COUNTY HOSPITAL near LA JARA, CO 81140",-105.9656104,37.26283189999999,establishment,rooftop,"19021 us hwy 285, la jara, co 81140, usa",37.2641808802915,37.2614829197085,-105.9642614197085,-105.9669593802915
Short term,TRUE,FALSE,FALSE,LINCOLN COMMUNITY HOSPITAL,CO,HUGO,060062,PO BOX 248,80821,"LINCOLN COMMUNITY HOSPITAL near HUGO, CO 80821",-103.473391,39.138309,establishment,rooftop,"111 6th st, hugo, co 80821, usa",39.1396579802915,39.1369600197085,-103.4720420197085,-103.4747399802915
Critical Access,TRUE,TRUE,TRUE,HEART OF THE ROCKIES REGIONAL MEDICAL CENTER,CO,SALIDA,061322,1000 RUSH DRIVE,81201,"HEART OF THE ROCKIES REGIONAL MEDICAL CENTER near SALIDA, CO 81201",-106.0086836,38.5427733,doctor,rooftop,"1000 rush drive, salida, co 81201, usa",38.544122280291496,38.5414243197085,-106.0073346197085,-106.0100325802915
Critical Access,TRUE,TRUE,FALSE,PIONEERS MEDICAL CENTER,CO,MEEKER,061325,100 PIONEERS MEDICAL CENTER DRIVE,81641,"PIONEERS MEDICAL CENTER near MEEKER, CO 81641",-107.8822968,40.0470026,doctor,rooftop,"100 pioneers medical center drive, meeker, co 81641, usa",40.0483515802915,40.0456536197085,-107.8809478197085,-107.8836457802915
Short term,TRUE,FALSE,TRUE,CORAL GABLES HOSPITAL,FL,CORAL GABLES,100183,3100 DOUGLAS RD,33134,"CORAL GABLES HOSPITAL near CORAL GABLES, FL 33134",-80.2550598,25.7436474,establishment,rooftop,"3100 douglas rd, coral gables, fl 33134, usa",25.7449963802915,25.7422984197085,-80.25371081970849,-80.2564087802915
Short term,TRUE,FALSE,FALSE,CENTURY MEMORIAL HOSPITAL,FL,CENTURY,100193,THIRD  MAYO STREETS,32535,"CENTURY MEMORIAL HOSPITAL near CENTURY, FL 32535",-87.2581055,30.9820383,doctor,rooftop,"8401 n century blvd, century, fl 32535, usa",30.9833872802915,30.9806893197085,-87.25675651970849,-87.2594544802915
Short term,TRUE,FALSE,TRUE,"VILLAGES REGIONAL HOSPITAL, THE",FL,THE VILLAGES,100290,1451 EL CAMINO REAL,32159,"VILLAGES REGIONAL HOSPITAL, THE near THE VILLAGES, FL 32159",-81.9582652,28.950209,establishment,rooftop,"1451 el camino real, the villages, fl 32159, usa",28.9515579802915,28.9488600197085,-81.95691621970849,-81.9596141802915
Long term,TRUE,FALSE,FALSE,SUNLAND COX MEDICAL CENTER,FL,MARIANNA,102008,3700 WMS DRIVE,32446,"SUNLAND COX MEDICAL CENTER near MARIANNA, FL 32446",-85.174317,30.8313184,establishment,rooftop,"3700 williams dr, marianna, fl 32448, usa",30.8326673802915,30.8299694197085,-85.17296801970849,-85.17566598029151
Short term,TRUE,FALSE,FALSE,HUTCHESON MEDICAL CENTER,GA,FORT OGLETHORPE,110004,100 GROSS CRESCENT,30742,"HUTCHESON MEDICAL CENTER near FORT OGLETHORPE, GA 30742",-85.2640009,34.9469261,establishment,rooftop,"100 gross crescent, fort oglethorpe, ga 30742, usa",34.9482750802915,34.9455771197085,-85.26265191970849,-85.26534988029151
Short term,TRUE,FALSE,FALSE,MONROE COUNTY HOSPITAL,GA,FORSYTH,110013,88 CULLODEN RD BOX 1068,31029,"MONROE COUNTY HOSPITAL near FORSYTH, GA 31029",-83.9453995,33.0314778,establishment,rooftop,"88 martin luther king jr dr, forsyth, ga 31029, usa",33.03282678029149,33.03012881970849,-83.9440505197085,-83.9467484802915
Short term,TRUE,FALSE,FALSE,HABERSHAM COUNTY MEDICAL CTR,GA,DEMOREST,110041,541 HISTORIC HIGHWAY 441-NORTH,30535,"HABERSHAM COUNTY MEDICAL CTR near DEMOREST, GA 30535",-83.53708859999999,34.5810438,establishment,rooftop,"541 historic hwy #441-n, demorest, ga 30535, usa",34.58239278029149,34.5796948197085,-83.5357396197085,-83.5384375802915
Short term,TRUE,TRUE,FALSE,COLQUITT REGIONAL MEDICAL CENTER,GA,MOULTRIE,110105,3131 THOMASVILLE HWY BOX 40,31768,"COLQUITT REGIONAL MEDICAL CENTER near MOULTRIE, GA 31768",-83.7803079,31.1257976,establishment,rooftop,"3131 s main st, moultrie, ga 31768, usa",31.1271465802915,31.1244486197085,-83.7789589197085,-83.78165688029151
Short term,TRUE,FALSE,FALSE,EARLY MEMORIAL HOSPITAL,GA,BLAKELY,110108,630 COLUMBIA RD,39823,"EARLY MEMORIAL HOSPITAL near BLAKELY, GA 39823",-84.9456556,31.3737938,establishment,rooftop,"11740 columbia rd, blakely, ga 39823, usa",31.3751427802915,31.3724448197085,-84.94430661970848,-84.94700458029149
Short term,TRUE,FALSE,FALSE,JENKINS COUNTY HOSPITAL,GA,MILLEN,110141,515 E WINTHROP AVE,30442,"JENKINS COUNTY HOSPITAL near MILLEN, GA 30442",-81.9344009,32.8042804,establishment,rooftop,"931 e winthrope ave, millen, ga 30442, usa",32.80562938029149,32.8029314197085,-81.9330519197085,-81.93574988029151
Short term,TRUE,FALSE,FALSE,WHEELER COUNTY HOSPITAL,GA,GLENWOOD,110151,PO BOX 398,30428,"WHEELER COUNTY HOSPITAL near GLENWOOD, GA 30428",-82.6653022,32.181331,establishment,rooftop,"114 e 2nd ave, glenwood, ga 30428, usa",32.1826799802915,32.1799820197085,-82.6639532197085,-82.66665118029151
Short term,TRUE,FALSE,FALSE,CORNERSTONE MEDICAL CENTER,GA,FORT OGLETHORP,110236,100 GROSS CRESCENT CIRCLE,30742,"CORNERSTONE MEDICAL CENTER near FORT OGLETHORP, GA 30742",-85.2636284,34.9467476,doctor,rooftop,"100 gross crescent circle, fort oglethorpe, ga 30742, usa",34.9480965802915,34.9453986197085,-85.26227941970849,-85.26497738029151
Critical Access,TRUE,FALSE,FALSE,CALHOUN MEMORIAL HOSPITAL,GA,ARLINGTON,111309,"55 J E JENNINGS AVE, PO DRAWER R",39813,"CALHOUN MEMORIAL HOSPITAL near ARLINGTON, GA 39813",-84.7215973,31.4358619,establishment,rooftop,"55 r e jennings ave se, arlington, ga 39813, usa",31.4372108802915,31.4345129197085,-84.72024831970849,-84.7229462802915
Critical Access,TRUE,FALSE,FALSE,"MEDICAL CENTER OF PEACH COUNTY, NAVICENT HEALTH",GA,BYRON,111310,1960 HIGHWAY 247 CONNECTOR,31008,"MEDICAL CENTER OF PEACH COUNTY, NAVICENT HEALTH near BYRON, GA 31008",-83.7593356,32.6049154,establishment,rooftop,"1960 ga-247conn, byron, ga 31008, usa",32.60626438029149,32.60356641970849,-83.75798661970849,-83.7606845802915
Critical Access,TRUE,FALSE,FALSE,MURRAY MEDICAL CENTER,GA,CHATSWORTH,111317,707 OLD ELLIJAY ROAD,30705,"MURRAY MEDICAL CENTER near CHATSWORTH, GA 30705",-84.78315429999999,34.779954,doctor,rooftop,"707 old dalton ellijay rd, chatsworth, ga 30705, usa",34.78130298029149,34.77860501970849,-84.78180531970848,-84.78450328029149
Critical Access,TRUE,FALSE,FALSE,LIBERTY REGIONAL MEDICAL CENTER,GA,HINESVILLE,111335,462 E G MILES PARKWAY,31310,"LIBERTY REGIONAL MEDICAL CENTER near HINESVILLE, GA 31310",-81.60097549999999,31.8394772,establishment,rooftop,"462 elma g miles pkwy, hinesville, ga 31313, usa",31.8408261802915,31.8381282197085,-81.59962651970848,-81.6023244802915
Critical Access,TRUE,FALSE,FALSE,MOUNTAIN LAKES MEDICAL CENTER,GA,CLAYTON,111336,162 LEGACY POINT,30525,"MOUNTAIN LAKES MEDICAL CENTER near CLAYTON, GA 30525",-83.393559,34.892413,establishment,geometric_center,"162 legacy point, clayton, ga 30525, usa",34.89376198029149,34.8910640197085,-83.39221001970849,-83.39490798029149
Critical Access,TRUE,FALSE,FALSE,MOLOKAI GENERAL HOSPITAL,HI,KAUNAKAKAI,121303,280 HOME OLU PLACE,96748,"MOLOKAI GENERAL HOSPITAL near KAUNAKAKAI, HI 96748",-157.0175847,21.0939536,establishment,rooftop,"280 home olu pl, kaunakakai, hi 96748, usa",21.0953025802915,21.0926046197085,-157.0162357197085,-157.0189336802915
Short term,TRUE,TRUE,TRUE,ST JOSEPH REGIONAL MEDICAL CENTER,ID,LEWISTON,130003,415 SIXTH STREET,83501,"ST JOSEPH REGIONAL MEDICAL CENTER near LEWISTON, ID 83501",-117.0244103,46.4166818,establishment,rooftop,"415 6th st, lewiston, id 83501, usa",46.4180307802915,46.4153328197085,-117.0230613197085,-117.0257592802915
Short term,TRUE,FALSE,FALSE,ELMORE MEMORIAL HOSPITAL,ID,MOUNTAIN HOME,130027,895 N SIXTH E PO BOX 1270,83647,"ELMORE MEMORIAL HOSPITAL near MOUNTAIN HOME, ID 83647",-115.6931332,43.1387838,establishment,rooftop,"895 n 6th e st, mountain home, id 83647, usa",43.1401327802915,43.1374348197085,-115.6917842197085,-115.6944821802915
Short term,TRUE,FALSE,FALSE,ONEIDA COUNTY HOSPITAL,ID,MALAD,130048,PO BOX 126 150 NORTH 200 WEST,83252,"ONEIDA COUNTY HOSPITAL near MALAD, ID 83252",-112.2502487,42.1893136,establishment,rooftop,"150 200 w, malad city, id 83252, usa",42.19066258029149,42.1879646197085,-112.2488997197085,-112.2515976802915
Short term,TRUE,TRUE,TRUE,KOOTENAI HEALTH,ID,COEUR D'ALENE,130049,2003 KOOTENAI HEALTH WAY,83814,"KOOTENAI HEALTH near COEUR D'ALENE, ID 83814",-116.79477610000001,47.6964532,route,geometric_center,"kootenai health way, coeur d'alene, id 83814, usa",47.697411,47.6943438,-116.7914914,-116.7961366
Short term,TRUE,FALSE,FALSE,HENRY L DAY MEDICAL CENTER,ID,SILVERTON,130051,BOX 87,83867,"HENRY L DAY MEDICAL CENTER near SILVERTON, ID 83867",-115.9547387,47.4928296,locality,approximate,"silverton, id, usa",47.4992428,47.4894308,-115.9498482,-115.9654051
Short term,TRUE,FALSE,FALSE,CASCADE MEDICAL CENTER,ID,CASCADE,130054,BOX 151 OLD STATE HIGHWAY,83611,"CASCADE MEDICAL CENTER near CASCADE, ID 83611",-116.0495208,44.5183709,establishment,rooftop,"402 lake cascade pkwy, cascade, id 83611, usa",44.5197198802915,44.5170219197085,-116.0481718197085,-116.0508697802915
Short term,TRUE,FALSE,FALSE,WOOD RIVER MEDICAL CENTER,ID,SUN VALLEY,130060,PO BOX 86,83353,"WOOD RIVER MEDICAL CENTER near SUN VALLEY, ID 83353",-114.3494597,43.6485714,establishment,rooftop,"100 hospital dr, ketchum, id 83340, usa",43.6499203802915,43.64722241970851,-114.3481107197085,-114.3508086802915
Critical Access,TRUE,TRUE,FALSE,NELL J REDFIELD MEMORIAL HOSPITAL,ID,MALAD,131303,150 NORTH 200 WEST,83252,"NELL J REDFIELD MEMORIAL HOSPITAL near MALAD, ID 83252",-112.250278,42.18932299999999,establishment,rooftop,"150 200 w, malad city, id 83252, usa",42.1906719802915,42.1879740197085,-112.2489290197085,-112.2516269802915
Critical Access,TRUE,FALSE,FALSE,CASCADE MEDICAL CENTER,ID,CASCADE,131308,402 LAKE CASCADE PARKWAY,83611,"CASCADE MEDICAL CENTER near CASCADE, ID 83611",-116.0495208,44.5183709,establishment,rooftop,"402 lake cascade pkwy, cascade, id 83611, usa",44.5197198802915,44.5170219197085,-116.0481718197085,-116.0508697802915
Short term,TRUE,FALSE,FALSE,BEARDSTOWN HOSPITAL,IL,BEARDSTOWN,140009,BOX 350 BOULEVARD RD,62618,"BEARDSTOWN HOSPITAL near BEARDSTOWN, IL 62618",-90.42369839999999,40.0002555,establishment,rooftop,"8460 st lukes dr, beardstown, il 62618, usa",40.0016044802915,39.99890651970851,-90.4223494197085,-90.4250473802915
Short term,TRUE,FALSE,FALSE,GOOD SAMARITAN REGIONAL HLTH CENTER,IL,MOUNT VERNON,140046,1 GOOD SAMARITAN WAY,62864,"GOOD SAMARITAN REGIONAL HLTH CENTER near MOUNT VERNON, IL 62864",-88.9392874,38.2970498,establishment,rooftop,"1 good samaritan way, mt vernon, il 62864, usa",38.29839878029149,38.2957008197085,-88.93793841970849,-88.94063638029151
Short term,TRUE,FALSE,FALSE,IROQUOIS MEMORIAL HOSPITAL,IL,WATSEKA,140167,200 FAIRMAN STREET,60970,"IROQUOIS MEMORIAL HOSPITAL near WATSEKA, IL 60970",-87.7313095,40.7661417,establishment,rooftop,"200 e fairman ave, watseka, il 60970, usa",40.7674906802915,40.7647927197085,-87.7299605197085,-87.7326584802915
Short term,TRUE,FALSE,FALSE,HEARTLAND REGIONAL MEDICAL CENTER,IL,MARION,140184,3333 W DE YOUNG,62959,"HEARTLAND REGIONAL MEDICAL CENTER near MARION, IL 62959",-88.99146999999999,37.742889,establishment,rooftop,"3333 w deyoung st, marion, il 62959, usa",37.74423798029149,37.7415400197085,-88.9901210197085,-88.9928189802915
