HospType,ED,Trauma,NSG,FAC_NAME,state,city,PRVDR_NUM,street,zipcode,lat,long,id,input_address,match_indicator,match_type,matched_address,tiger_line_id,tiger_side,state_fips,county_fips,census_tract,census_block
Short term,TRUE,FALSE,TRUE,FLOWERS HOSPITAL,AL,DOTHAN,010055,4370 WEST MAIN STREET,36305,31.235992,-85.45785,45,"4370 WEST MAIN STREET, DOTHAN, AL, 36305",Match,Exact,"4370 W MAIN ST, DOTHAN, AL, 36305",101238190,R,1,69,40202,4013
Short term,TRUE,FALSE,FALSE,BIBB MEDICAL CENTER,AL,CENTREVILLE,010058,208 PIERSON AVE,35042,32.951126,-87.14769,48,"208 PIERSON AVE, CENTREVILLE, AL, 35042",Match,Exact,"208 PIERSON AVE, CENTREVILLE, AL, 35042",38851449,L,1,7,10004,6038
Short term,TRUE,FALSE,FALSE,LAWRENCE MEDICAL CENTER,AL,MOULTON,010059,202 HOSPITAL STREET,35650,34.48297,-87.28602,49,"202 HOSPITAL STREET, MOULTON, AL, 35650",Match,Exact,"202 HOSPITAL ST, MOULTON, AL, 35650",41383183,L,1,79,979400,1033
Short term,TRUE,FALSE,FALSE,CLEBURNE COUNTY HOSPITAL,AL,HEFLIN,010060,411 ROSS ST BOX 398,36264,33.641407,-85.58868,50,"411 ROSS ST BOX 398, HEFLIN, AL, 36264",Match,Exact,"411 ROSS ST, HEFLIN, AL, 36264",30361036,L,1,29,959600,3074
Short term,TRUE,FALSE,FALSE,HIGHLANDS MEDICAL CENTER,AL,SCOTTSBORO,010061,380 WOODS COVE ROAD,35768,34.66099,-86.04739,51,"380 WOODS COVE ROAD, SCOTTSBORO, AL, 35768",Match,Exact,"380 WOODS COVE RD, SCOTTSBORO, AL, 35768",639685388,L,1,71,950800,4005
Short term,TRUE,FALSE,FALSE,WIREGRASS MEDICAL CENTER,AL,GENEVA,010062,1200 W MAPLE AVENUE,36340,31.047451,-85.89432,52,"1200 W MAPLE AVENUE, GENEVA, AL, 36340",Match,Non_Exact,"1202 W MAPLE AVE, GENEVA, AL, 36340",32933656,L,1,61,50300,4006
Short term,TRUE,FALSE,TRUE,PHYSICIANS MEDICAL CENTER CARRAWAY,AL,BIRMINGHAM,010064,1600 CARRAWAY BOULEVARD,35234,33.53641,-86.80966,53,"1600 CARRAWAY BOULEVARD, BIRMINGHAM, AL, 35234",Match,Exact,"1600 CARRAWAY BLVD, BIRMINGHAM, AL, 35234",81572804,L,1,73,1600,3031
Short term,TRUE,FALSE,FALSE,FLORALA MEMORIAL HOSPITAL,AL,FLORALA,010066,24273 FIFTH AVENUE,36442,31.000048,-86.314545,55,"24273 FIFTH AVENUE, FLORALA, AL, 36442",Match,Exact,"24273 5TH AVE, FLORALA, AL, 36442",1878904,L,1,39,963000,4001
Short term,TRUE,FALSE,FALSE,MEDICAL CENTER BARBOUR,AL,EUFAULA,010069,820 W WASHINGTON ST,36027,31.88799,-85.15693,58,"820 W WASHINGTON ST, EUFAULA, AL, 36027",Match,Non_Exact,"820 W WASHINGTON ST, EUFAULA, AL, 36027",640319703,L,1,5,950700,2011
Short term,TRUE,FALSE,FALSE,MEDICAL PARK WEST,AL,BIRMINGHAM,010070,1915 19TH STREET ENSLEY,35218,33.510212,-86.88279,59,"1915 19TH STREET ENSLEY, BIRMINGHAM, AL, 35218",Match,Exact,"1915 19TH ST, BIRMINGHAM, AL, 35218",81722511,R,1,73,3200,1045
Short term,TRUE,FALSE,FALSE,COOSA VALLEY BAPTIST MEDICAL CENTER,AL,SYLACAUGA,010072,315 W HICKORY ST,35150,33.164684,-86.254105,60,"315 W HICKORY ST, SYLACAUGA, AL, 35150",Match,Non_Exact,"315 W HICKORY ST, SYLACAUGA, AL, 35150",640315533,L,1,121,11800,2066
Short term,TRUE,FALSE,FALSE,CLAY COUNTY HOSPITAL,AL,ASHLAND,010073,83825 HIGHWAY 9    P O BOX 1270,36251,33.27676,-85.823204,61,"83825 HIGHWAY 9    P O BOX 1270, ASHLAND, AL, 36251",Match,Non_Exact,"83825 STATE RTE 9, ASHLAND, AL, 36251",639286366,L,1,27,959000,1062
Short term,TRUE,FALSE,FALSE,HENRY COUNTY HOSPITAL & NURSING HOME,AL,ABBEVILLE,010074,212 DOTHAN RD BOX 639,36310,31.554712,-85.25311,62,"212 DOTHAN RD BOX 639, ABBEVILLE, AL, 36310",Match,Exact,"212 DOTHAN RD, ABBEVILLE, AL, 36310",101181336,L,1,67,30200,2074
Short term,TRUE,FALSE,FALSE,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,ANNISTON,010078,400 EAST 10TH STREET,36207,33.657112,-85.82332,63,"400 EAST 10TH STREET, ANNISTON, AL, 36207",Match,Exact,"400 E 10TH ST, ANNISTON, AL, 36207",66585523,R,1,15,800,1053
Short term,TRUE,FALSE,FALSE,BAPTIST MEDICAL CENTER DOWNTOWN,AL,MONTGOMERY,010081,301 SOUTH RIPLEY STREET,36104,32.37489,-86.29801,66,"301 SOUTH RIPLEY STREET, MONTGOMERY, AL, 36104",Match,Exact,"301 S RIPLEY ST, MONTGOMERY, AL, 36104",642884340,L,1,101,200,1013
Short term,TRUE,FALSE,FALSE,SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,FOLEY,010083,1613 NORTH MCKENZIE STREET,36535,30.425028,-87.68321,67,"1613 NORTH MCKENZIE STREET, FOLEY, AL, 36535",Match,Non_Exact,"1613 MCKENZIE ST, FOLEY, AL, 36535",640320697,L,1,3,11501,3019
Short term,TRUE,FALSE,FALSE,UAB HIGHLANDS,AL,BIRMINGHAM,010084,1201 ELEVENTH AVENUE SOUTH,35205,33.495403,-86.80727,68,"1201 ELEVENTH AVENUE SOUTH, BIRMINGHAM, AL, 35205",Match,Exact,"1201 11TH AVE S, BIRMINGHAM, AL, 35205",81576549,R,1,73,4902,2019
Short term,TRUE,FALSE,FALSE,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,AL,DECATUR,010085,1201 7TH STREET SE,35601,34.59119,-86.97263,69,"1201 7TH STREET SE, DECATUR, AL, 35601",Match,Exact,"1201 7TH ST SE, DECATUR, AL, 35601",640316049,R,1,103,100,5021
Short term,TRUE,FALSE,FALSE,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,AL,MOBILE,010087,2451 FILLINGIM STREET,36617,30.70804,-88.09994,71,"2451 FILLINGIM STREET, MOBILE, AL, 36617",Match,Exact,"2451 FILLINGIM ST, MOBILE, AL, 36617",639911087,L,1,97,800,3004
Short term,TRUE,TRUE,TRUE,D C H REGIONAL MEDICAL CENTER,AL,TUSCALOOSA,010092,809 UNIVERSITY BOULEVARD EAST,35401,33.209625,-87.54655,75,"809 UNIVERSITY BOULEVARD EAST, TUSCALOOSA, AL, 35401",Match,Non_Exact,"809 UNIVERSITY BLVD, TUSCALOOSA, AL, 35401",82225061,L,1,125,11200,1048
Short term,TRUE,FALSE,FALSE,ELMORE COMMUNITY HOSPITAL,AL,WETUMPKA,010097,500 HOSPITAL DRIVE,36092,32.55124,-86.18998,79,"500 HOSPITAL DRIVE, WETUMPKA, AL, 36092",Match,Exact,"500 HOSPITAL DR, WETUMPKA, AL, 36092",640317240,R,1,51,30600,1037
Short term,TRUE,FALSE,FALSE,D W MCMILLAN MEMORIAL HOSPITAL,AL,BREWTON,010099,1301 BELLEVILLE AVENUE,36426,31.12719,-87.07242,81,"1301 BELLEVILLE AVENUE, BREWTON, AL, 36426",Match,Exact,"1301 BELLEVILLE AVE, BREWTON, AL, 36426",635529888,L,1,53,970100,2078
Short term,TRUE,FALSE,FALSE,THOMAS HOSPITAL,AL,FAIRHOPE,010100,750 MORPHY AVENUE,36532,30.519966,-87.88985,82,"750 MORPHY AVENUE, FAIRHOPE, AL, 36532",Match,Exact,"750 MORPHY AVE, FAIRHOPE, AL, 36532",131649849,R,1,3,11202,3027
Short term,TRUE,FALSE,FALSE,CITIZENS BAPTIST MEDICAL CENTER,AL,TALLADEGA,010101,604 STONE AVENUE,35161,33.4398,-86.09198,83,"604 STONE AVENUE, TALLADEGA, AL, 35161",Match,Non_Exact,"604 STONE AVE, TALLADEGA, AL, 35160",66917028,R,1,121,10900,2008
Short term,TRUE,FALSE,FALSE,J PAUL JONES HOSPITAL,AL,CAMDEN,010102,317 MCWILLIAMS AVENUE,36726,31.99665,-87.29943,84,"317 MCWILLIAMS AVENUE, CAMDEN, AL, 36726",Match,Exact,"317 MCWILLIAMS AVE, CAMDEN, AL, 36726",640318589,L,1,131,34800,5017
Short term,TRUE,FALSE,TRUE,PRINCETON BAPTIST MEDICAL CENTER,AL,BIRMINGHAM,010103,701 PRINCETON AVENUE SOUTHWEST,35211,33.499485,-86.84544,85,"701 PRINCETON AVENUE SOUTHWEST, BIRMINGHAM, AL, 35211",Match,Exact,"701 PRINCETON AVE SW, BIRMINGHAM, AL, 35211",81555689,L,1,73,4000,5020
Short term,TRUE,FALSE,FALSE,PRATTVILLE BAPTIST HOSPITAL,AL,PRATTVILLE,010108,124 S MEMORIAL DR,36067,32.464127,-86.450935,87,"124 S MEMORIAL DR, PRATTVILLE, AL, 36067",Match,Exact,"124 S MEMORIAL DR, PRATTVILLE, AL, 36067",640320184,R,1,1,20300,2020
Short term,TRUE,FALSE,FALSE,BULLOCK COUNTY HOSPITAL,AL,UNION SPRINGS,010110,102 WEST CONECUH AVENUE,36089,32.14619,-85.71614,89,"102 WEST CONECUH AVENUE, UNION SPRINGS, AL, 36089",Match,Non_Exact,"102 CONECUH AVE, UNION SPRINGS, AL, 36089",640314547,R,1,11,952200,3043
Short term,TRUE,FALSE,TRUE,MOBILE INFIRMARY MEDICAL CENTER,AL,MOBILE,010113,5 MOBILE INFIRMARY CIRCLE,36652,30.696684,-88.079285,92,"5 MOBILE INFIRMARY CIRCLE, MOBILE, AL, 36652",Match,Non_Exact,"5 MOBILE INFIRMARY CIR, MOBILE, AL, 36607",61948280,L,1,97,2502,1002
Short term,TRUE,FALSE,FALSE,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,AL,SELMA,010118,1015 MEDICAL CENTER PARKWAY,36701,32.424152,-87.04933,96,"1015 MEDICAL CENTER PARKWAY, SELMA, AL, 36701",Match,Exact,"1015 MEDICAL CENTER PKWY, SELMA, AL, 36701",1282873,L,1,47,956800,2012
Short term,TRUE,FALSE,FALSE,UNIV OF SOUTH AL CHILDRENS AND WOMENS,AL,MOBILE,010119,1700 CENTER STREET,36604,30.696112,-88.076904,97,"1700 CENTER STREET, MOBILE, AL, 36604",Match,Exact,"1700 CENTER ST, MOBILE, AL, 36604",61860816,R,1,97,901,1003
Short term,TRUE,FALSE,FALSE,MONROE COUNTY HOSPITAL,AL,MONROEVILLE,010120,"2016 SOUTH ALABAMA AVENUE, BOX 886",36460,31.496824,-87.31953,98,"2016 SOUTH ALABAMA AVENUE, BOX 886, MONROEVILLE, AL, 36460",Match,Non_Exact,"2016 ALABAMA AVE, MONROEVILLE, AL, 36460",640319782,L,1,99,75900,4029
Short term,TRUE,FALSE,FALSE,VAUGHAN REG MED CTR DALLAS AVE CAMPUS,AL,SELMA,010121,1050 W DALLAS AVE,36701,32.40624,-87.051094,99,"1050 W DALLAS AVE, SELMA, AL, 36701",Match,Non_Exact,"1050 W DALLAS AVE, SELMA, AL, 36701",1303463,L,1,47,956702,1057
Short term,TRUE,FALSE,FALSE,CHOCTAW COMMUNITY HOSPITAL,AL,BUTLER,010122,1406 B EAST PUSHMATAHA,36904,32.090103,-88.20543,100,"1406 B EAST PUSHMATAHA, BUTLER, AL, 36904",Match,Non_Exact,"1406 E PUSHMATAHA ST, BUTLER, AL, 36904",107190,R,1,23,956800,5013
Short term,TRUE,FALSE,FALSE,FLORENCE HOSPITAL,AL,FLORENCE,010123,2111 CLOYD BLVD P O BOX 2010,35630,34.836376,-87.64874,1,"2111 CLOYD BLVD P O BOX 2010, FLORENCE, AL, 35630",Match,Exact,"2111 CLOYD BLVD, FLORENCE, AL, 35630",41322192,L,1,77,10900,2011
Short term,TRUE,FALSE,FALSE,MEDICAL CENTER SHOALS,AL,MUSCLE SHOALS,010124,201 AVALON AVE BOX 3359,35662,34.74495,-87.67563,2,"201 AVALON AVE BOX 3359, MUSCLE SHOALS, AL, 35662",Match,Non_Exact,"201 AVALON AVE, MUSCLE SHOALS, AL, 35661",640320680,L,1,33,20704,3043
Short term,TRUE,FALSE,FALSE,HUNTSVILLE HOSPITAL EAST,AL,HUNTSVILLE,010127,911 BIG COVE RD,35801,34.72028,-86.57377,5,"911 BIG COVE RD, HUNTSVILLE, AL, 35801",Match,Non_Exact,"911 BIG COVE RD SE, HUNTSVILLE, AL, 35801",58217182,L,1,89,3100,3089
Short term,TRUE,FALSE,FALSE,NORTH BALDWIN INFIRMARY,AL,BAY MINETTE,010129,1815 HAND AVENUE,36507,30.901941,-87.78309,7,"1815 HAND AVENUE, BAY MINETTE, AL, 36507",Match,Exact,"1815 HAND AVE, BAY MINETTE, AL, 36507",131733290,L,1,3,10500,2013
Short term,TRUE,FALSE,FALSE,HILL HOSPITAL OF SUMTER COUNTY,AL,YORK,010138,751 DERBY DRIVE,36925,32.492416,-88.296295,12,"751 DERBY DRIVE, YORK, AL, 36925",Match,Exact,"751 DERBY DR, YORK, AL, 36925",640318357,R,1,119,11500,2057
Short term,TRUE,FALSE,FALSE,BROOKWOOD BAPTIST MEDICAL CENTER,AL,BIRMINGHAM,010139,2010 BROOKWOOD MEDICAL CENTER DRIVE,35209,33.4631,-86.77646,13,"2010 BROOKWOOD MEDICAL CENTER DRIVE, BIRMINGHAM, AL, 35209",Match,Exact,"2010 BROOKWOOD MEDICAL CENTER DR, BIRMINGHAM, AL, 35209",81715511,L,1,73,12905,3037
Short term,TRUE,FALSE,FALSE,WOODLAND MEDICAL CENTER,AL,CULLMAN,010143,1910 CHEROKEE AVENUE SW,35055,34.14782,-86.845535,14,"1910 CHEROKEE AVENUE SW, CULLMAN, AL, 35055",Match,Exact,"1910 CHEROKEE AVE SW, CULLMAN, AL, 35055",130221175,L,1,43,965000,6035
Short term,TRUE,FALSE,FALSE,SPRINGHILL MEMORIAL HOSPITAL,AL,MOBILE,010144,3719 DAUPHIN STREET,36608,30.685463,-88.13652,15,"3719 DAUPHIN STREET, MOBILE, AL, 36608",Match,Exact,"3719 DAUPHIN ST, MOBILE, AL, 36608",640549404,L,1,97,3301,2005
Short term,TRUE,FALSE,FALSE,NORTHPORT MEDICAL CENTER,AL,NORTHPORT,010145,2700 HOSPITAL DRIVE,35476,33.232933,-87.56948,16,"2700 HOSPITAL DRIVE, NORTHPORT, AL, 35476",Match,Exact,"2700 HOSPITAL DR, NORTHPORT, AL, 35476",647016589,R,1,125,10403,1030
Short term,TRUE,FALSE,FALSE,EVERGREEN MEDICAL CENTER,AL,EVERGREEN,010148,101 CRESTVIEW AVENUE,36401,31.431286,-86.94188,18,"101 CRESTVIEW AVENUE, EVERGREEN, AL, 36401",Match,Non_Exact,"101 CRESTVIEW ST, EVERGREEN, AL, 36401",2865782,R,1,35,960600,3088
Short term,TRUE,FALSE,FALSE,BAPTIST MEDICAL CENTER EAST,AL,MONTGOMERY,010149,400 TAYLOR ROAD,36117,32.387913,-86.176155,19,"400 TAYLOR ROAD, MONTGOMERY, AL, 36117",Match,Exact,"400 TAYLOR RD, MONTGOMERY, AL, 36117",1546538,R,1,101,5408,3000
Short term,TRUE,FALSE,FALSE,L V STABLER MEMORIAL HOSPITAL,AL,GREENVILLE,010150,29 L V STABLER DRIVE,36037,31.828455,-86.646194,20,"29 L V STABLER DRIVE, GREENVILLE, AL, 36037",Match,Exact,"29 L V STABLER DR, GREENVILLE, AL, 36037",1814376,L,1,13,952900,2000
Short term,TRUE,FALSE,FALSE,INFIRMARY WEST,AL,MOBILE,010152,5600 GIRBY RD,36693,30.618324,-88.17109,21,"5600 GIRBY RD, MOBILE, AL, 36693",Match,Exact,"5600 GIRBY RD, MOBILE, AL, 36693",61939661,R,1,97,3709,1006
Short term,TRUE,FALSE,FALSE,VAUGHAN PERRY HOSPITAL,AL,MARION,010155,505 EAST LAFAYETTE STREET P O BOX 149,36756,32.631714,-87.308205,22,"505 EAST LAFAYETTE STREET P O BOX 149, MARION, AL, 36756",Match,Exact,"505 E LAFAYETTE ST, MARION, AL, 36756",28065584,L,1,105,687000,2042
Short term,TRUE,FALSE,FALSE,SHOALS HOSPITAL,AL,MUSCLE SHOALS,010157,201 WEST AVALON AVENUE,35661,34.74495,-87.67563,23,"201 WEST AVALON AVENUE, MUSCLE SHOALS, AL, 35661",Match,Non_Exact,"201 AVALON AVE, MUSCLE SHOALS, AL, 35661",640320680,L,1,33,20704,3043
Short term,TRUE,FALSE,FALSE,FLORENCE HOSPITAL,AL,FLORENCE,010159,2111 CLOYD BLVD,35630,34.836376,-87.64874,25,"2111 CLOYD BLVD, FLORENCE, AL, 35630",Match,Exact,"2111 CLOYD BLVD, FLORENCE, AL, 35630",41322192,L,1,77,10900,2011
Short term,TRUE,TRUE,FALSE,SELECT SPECIALTY HOSPITAL,AL,BIRMINGHAM,010161,800 MONTCLAIR ROAD 9TH FLOOR,35213,33.513973,-86.7488,26,"800 MONTCLAIR ROAD 9TH FLOOR, BIRMINGHAM, AL, 35213",Match,Exact,"800 MONTCLAIR RD, BIRMINGHAM, AL, 35213",635366866,L,1,73,2306,2024
Short term,TRUE,FALSE,FALSE,COOSA VALLEY MEDICAL CENTER,AL,SYLACAUGA,010164,315 W HICKORY ST,35150,33.164684,-86.254105,27,"315 W HICKORY ST, SYLACAUGA, AL, 35150",Match,Non_Exact,"315 W HICKORY ST, SYLACAUGA, AL, 35150",640315533,L,1,121,11800,2066
Short term,TRUE,FALSE,FALSE,UAB HIGHLANDS,AL,BIRMINGHAM,010167,1201 11TH AVENUE SOUTH,35205,33.495403,-86.80727,28,"1201 11TH AVENUE SOUTH, BIRMINGHAM, AL, 35205",Match,Exact,"1201 11TH AVE S, BIRMINGHAM, AL, 35205",81576549,R,1,73,4902,2019
