id,lat,lon,Name,level
2060,48.4958239,-122.2760621,PeaceHealth United General Medical Center,4
2018,48.4189674,-122.323794,Skagit Regional Health,3
1179,48.4110207,-97.414559,Unity Medical Center,5
1160,48.403004,-102.9350655,Tioga Medical Center,5
1181,48.3994468,-97.7443773,First Care Health Center,5
2035,48.397034,-119.547483,Mid-Valley Hospital,4
1108,48.3796774,-114.3278631,North Valley Hospital,4
1176,48.3628506,-99.9963013,Heart of America Medical Center,5
1188,48.3114343,-102.3800359,Mountrail County Medical Center,5
1185,48.3114343,-102.3800359,Mountrail County Medical Center,5
2040,48.277986,-117.7108472,Providence St. Joseph's Hospital,4
557,48.277795,-116.5491403,Bonner General Hospital,4
1144,48.2321452,-101.2938497,Trinity Health,2
1089,48.2147675,-114.3236774,Kalispell Regional Healthcare,3
2043,48.2135646,-122.6845344,WhidbeyHealth,3
2032,48.1887307,-122.1182679,Cascade Valley Hospital,4
2066,48.1818221,-117.0565499,Newport Hospital and Health Services,4
1120,48.174552,-111.9591003,Pondera Medical Center,5
1162,48.155401,-103.6459105,CHI St. Alexius Health - Williston Medical Center,4
1100,48.1520808,-104.5153924,Roosevelt Medical Center,5
935,48.1161515,-96.1795066,Sanford Medical Center Thief River Falls,4
1152,48.1155194,-98.8492925,CHI St. Alexius Health Devils Lake Hospital,5
2030,48.1154826,-123.4144823,Olympic Medical Center,3
1115,48.1152128,-105.1936494,Poplar Community Hospital,5
2038,48.1063117,-119.7826743,Three Rivers Hospital,4
2054,48.106065,-122.7891109,Jefferson Healthcare,4
1113,48.1012529,-105.6418116,Trinity Hospital,5
1995,48.0000675,-122.2058527,Providence Regional Medical Center Everett,2
2077,47.9462715,-124.3926306,Forks Community Hospital,4
2071,47.9462715,-124.3926306,Forks Community Hospital,4
2048,47.9420302,-119.0081243,Coulee Medical Center,4
1145,47.9105352,-97.0681107,Altru Health System,2
912,47.900717,-91.87181,Ely-Bloomenson Community Hospital,4
2029,47.863912,-121.9891033,EvergreenHealth Monroe,4
957,47.853084,-92.6796164,Cook Hospital & Care Center,4
2039,47.8449761,-120.0098656,Lake Chelan Community Hospital and Clinics,4
1121,47.814359,-112.192751,Benefis Teton Medical Center,5
2015,47.8033101,-122.334539,Swedish/Edmonds,4
1163,47.795599,-103.2831078,McKenzie County Healthcare System,5
910,47.7735002,-96.617452,RiverView Health,4
1154,47.7664839,-99.9323669,St. Aloisius Medical Center,5
1173,47.7656473,-98.1777709,Nelson County Health System,5
1186,47.7656473,-98.1777709,Nelson County Health System,5
949,47.7470899,-93.645004,Bigfork Valley Hospital,4
1183,47.7354011,-97.5745883,Northwood Deaconess Health Center,5
1187,47.7354011,-97.5745883,Northwood Deaconess Health Center,5
2003,47.71561,-122.1785465,EvergreenHealth,3
2012,47.7147302,-122.3371023,UW Medicine/Northwest Hospital & Medical Center,4
2014,47.709683,-117.4070645,Providence Holy Family Hospital,3
551,47.6955728,-116.793206,Kootenai Health,2
1111,47.6822197,-114.1624467,Providence St. Joseph Medical Center,5
2023,47.6710837,-117.2350184,MultiCare Valley Hospital,3
2008,47.6520746,-117.4232235,MultiCare Deaconess Hospital,3
2037,47.6507816,-118.1459645,Lincoln Hospital,4
2076,47.6507816,-118.1459645,Lincoln Hospital,5
1994,47.6490617,-117.4135201,Providence Sacred Heart Medical Center & Children's Hospital,2
1166,47.6490443,-101.410497,CHI St. Alexius Health Garrison,5
2004,47.6208736,-122.1868731,Overlake Medical Center,3
1997,47.6039634,-122.3241159,UW Medicine/Harborview Medical Center,1
2078,47.5944081,-120.660825,Cascade Medical Center,5
2073,47.5944081,-120.660825,Cascade Medical Center,5
2005,47.5829409,-122.6251543,Harrison Medical Center,3
913,47.5713352,-95.739282,Essentia Health Fosston,4
863,47.5315443,-92.5491119,Essentia Health-Virginia,4
968,47.5315443,-92.5491119,Essentia Health-Virginia,4
1106,47.5286616,-114.1069355,St. Luke Community Healthcare,5
906,47.5262696,-95.4022132,Sanford Bagley Medical Center,4
1161,47.5181449,-100.894488,Community Memorial Hospital,5
954,47.5180548,-92.2295447,Essentia Health Northern Pines Medical Center,4
2059,47.5127466,-121.8857165,Snoqualmie Valley Hospital District,5
870,47.5035798,-94.8993703,Sanford Bemidji Medical Center,4
1158,47.5006824,-97.316882,Sanford Mayville Medical Center,5
1087,47.4911874,-111.2594192,Benefis Health System,2
1119,47.4695324,-114.8917534,Clark Fork Valley Hospital,4
2022,47.457487,-122.343248,Highline Medical Center,4
1175,47.4454728,-98.1191883,Cooperstown Medical Center,5
1151,47.4454399,-99.1233945,CHI St Alexius Health Carrington Medical Center,5
2002,47.4423897,-122.2141759,UW Medicine/Valley Medical Center,3
885,47.4094872,-92.9293991,Range Regional Health Services,3
2013,47.4067059,-120.3214286,Confluence Health/Central Washington Hospital,3
1177,47.4032378,-97.0557916,Sanford Hillsboro Medical Center,5
2028,47.3636158,-122.6134142,St. Anthony Hospital,4
950,47.3442166,-93.7919443,Essentia Health-Deer River,4
2050,47.3313598,-118.6823311,Odessa Memorial Healthcare Center,5
2047,47.3145887,-119.5468549,Columbia Basin Hospital,5
961,47.3117925,-95.9729278,Mahnomen Health Center,4
2020,47.309369,-122.228962,MultiCare Auburn Medical Center,3
1182,47.298294,-101.610599,Sakakawea Medical Center,5
956,47.2978543,-96.5315442,Essentia Health Ada,4
2019,47.2926018,-122.3272208,St. Francis Hospital,4
1998,47.2593601,-122.4529681,MultiCare Tacoma General Hospital,2
2027,47.2587434,-122.4527168,MultiCare Mary Bridge Children's Hospital and Health Center,0
1999,47.2453583,-122.4478581,St. Joseph Medical Center,2
2021,47.2418621,-122.4798093,Allenmore Hospital,5
833,47.2386551,-88.4434902,"Aspirus Keweenaw Hospital, Inc.",3
2057,47.2309004,-119.8683062,Quincy Valley Medical Center,4
2061,47.2257312,-123.1140731,Mason General Hospital and Family of Clinics,4
894,47.2236251,-93.5553187,Grand Itasca Clinic and Hospital,3
2046,47.208138,-121.988489,St. Elizabeth Hospital,5
1109,47.1854067,-114.8768128,Mineral Community Hospital,5
2001,47.1785592,-122.2900487,MultiCare Good Samaritan Hospital,3
2026,47.1545124,-122.5019772,St. Clare Hospital,4
814,47.1409861,-88.5862827,UP Health System-Portage,3
2033,47.1284266,-119.2654679,Samaritan Healthcare,3
2069,47.1211977,-118.3719373,East Adams Rural Healthcare,5
2009,47.1097586,-122.55207,Madigan Army Medical Center,2
1104,47.0603543,-109.4420082,Central Montana Medical Center,4
2000,47.0529957,-122.8479904,Providence St. Peter Hospital,2
937,47.0303208,-91.6668508,Lake View Hospital,4
2074,47.0069351,-123.3919078,Summit Pacific Medical Center,4
2045,46.9872177,-120.537885,Kittitas Valley Healthcare,4
2031,46.9792513,-123.8471278,Grays Harbor Community Hospital,3
1174,46.9282838,-97.994148,CHI Mercy Health,4
928,46.9164944,-95.0621038,CHI St. Joseph's Health,4
1155,46.8901275,-98.7467447,Jamestown Regional Medical Center,4
1153,46.8864235,-102.7855761,CHI St. Alexius Health - Dickinson Medical Center,4
1126,46.8755594,-114.0000297,Providence St. Patrick Hospital,2
1091,46.8755594,-114.0000297,Providence St. Patrick Hospital,2
2041,46.8694908,-117.3760085,Whitman Hospital and Medical Center,5
840,46.8658501,-89.3031305,Aspirus Ontonagon Hospital,4
1125,46.8474613,-114.0474077,Community Medical Center,4
1093,46.8474613,-114.0474077,Community Medical Center,4
1143,46.8457684,-96.8756735,Sanford Medical Center Fargo,1
1148,46.831384,-96.8277872,Essentia Health Fargo,2
2051,46.8311639,-119.1552825,Othello Community Hospital,5
867,46.8141835,-95.844091,Essentia Health St. Mary's - Detroit Lakes,3
1147,46.8078863,-100.7823865,Sanford Bismarck,2
1146,46.8076302,-100.777575,CHI St. Alexius Health,2
856,46.7972471,-92.0876602,St. Luke's Hospital,2
852,46.7927519,-92.0935447,Essentia Health St. Mary's Medical Center,2
1112,46.7911319,-105.3155434,Prairie Community Hospital,5
964,46.7311208,-92.4618313,Community Memorial Hospital,4
884,46.7311208,-92.4618313,Community Memorial Hospital,4
2056,46.7126354,-117.1698366,Pullman Regional Hospital,4
2024,46.7123113,-122.9855393,Providence Centralia Hospital,3
2070,46.662804,-123.812364,Willapa Harbor Hospital,5
2011,46.596584,-120.5211861,Astria Regional Medical Center,3
966,46.5939093,-95.5931883,Perham Health,4
903,46.5939093,-95.5931883,Perham Health,4
2010,46.5936779,-120.5479367,Virginia Mason Memorial,3
1094,46.583494,-111.9966811,St. Peter's Hospital,3
2065,46.5554332,-122.2799987,"Arbor Health, Morton Hospital",5
786,46.5546992,-87.4003986,UP Health System-Marquette,2
1110,46.5479022,-110.9046523,Mountainview Medical Center,5
905,46.5296349,-93.6984153,Riverwood Healthcare Center,3
559,46.4869553,-116.2597876,Clearwater Valley Hospital and Clinics,4
911,46.4815609,-93.945304,Cuyuna Regional Medical Center,4
832,46.4782891,-90.1057004,"Aspirus Ironwood Hospitals & Clinics, Inc.",4
2053,46.4757358,-117.6018959,Garfield County Public Hospital District,5
924,46.4611418,-92.7519768,Mercy Hospital,4
1107,46.453656,-108.5452677,Roundup Memorial Healthcare,5
939,46.4452526,-95.1340253,Tri-County Hospital,4
1103,46.4372615,-109.8408621,Wheatland Memorial Healthcare,5
1157,46.4371442,-97.6802572,CHI Lisbon Health,5
554,46.4166818,-117.0244103,St. Joseph Regional Medical Center,3
1117,46.4135348,-112.726774,Deer Lodge Medical Center,5
1149,46.4073594,-101.8414645,Jacobson Memorial Hospital Care Center,5
2036,46.4027069,-117.0553969,Tri-State Memorial Hospital,4
2075,46.4027069,-117.0553969,Tri-State Memorial Hospital,4
2063,46.3707462,-120.3169541,Astria Toppenish Hospital,4
869,46.3621197,-94.2063662,Essentia Health St. Joseph's Medical Center,3
834,46.3528874,-85.5156083,Helen Newberry Joy Hospital,4
934,46.3511442,-94.7509304,Lakewood Health System,3
2062,46.322862,-120.0066571,Astria Sunnyside Hospital,4
2044,46.311727,-117.9703428,Columbia County Health System,5
2049,46.3114337,-124.0428535,Ocean Beach Hospital,4
908,46.2914583,-96.5884119,CHI St. Francis Health,4
2006,46.2813864,-119.2822234,Kadlec Regional Medical Center,3
872,46.2768753,-96.0736053,Lake Region Healthcare,3
1180,46.2715654,-100.2335762,Linton Hospital,5
1164,46.2551183,-99.5519499,Wishek Community Hospital and Clinics,5
2052,46.2349788,-119.0958078,Lourdes Medical Center,4
2055,46.2080712,-119.7640401,Prosser Memorial Health,4
2025,46.199093,-119.119327,Trios Health,3
1489,46.1881604,-123.8188977,Columbia Memorial Hospital,4
1165,46.184682,-103.406698,Southwest Healthcare Services,4
1172,46.150278,-98.0892981,CHI Oakes Hospital,5
1095,46.1328103,-112.9575492,Community Hospital of Anaconda,4
2016,46.1299701,-122.9415844,PeaceHealth St. John Medical Center,3
962,46.1269528,-92.8652802,Essentia Health Sandstone,4
1184,46.0952325,-100.6281136,"Standing Rock Service Unit, Fort Yates Hospital, Indian Health Service, DHHS",4
876,46.0731822,-93.6624939,Mille Lacs Health System,4
2017,46.0619847,-118.3432076,Providence St. Mary Medical Center,3
558,46.0506397,-116.3534036,St. Mary's Hospital,4
1167,46.0407608,-99.371889,Ashley Medical Center,5
1097,46.0084722,-112.5455521,St. James Healthcare,3
1170,46.0025597,-102.625863,West River Regional Medical Center,4
960,45.9943717,-95.964031,Prairie Ridge Hospital and Health Services,4
917,45.9736631,-94.8485635,CentraCare Health-Long Prairie,4
896,45.9669044,-94.3625665,CHI St. Gabriel's Health,4
2169,45.9306149,-90.4416186,Flambeau Hospital,4
2158,45.9280403,-89.2510209,Ascension Eagle River Hospital,4
563,45.9265605,-116.1271556,Syringa Hospital and Clinics,4
2139,45.8937789,-89.7021317,Howard Young Medical Center,3
925,45.8746785,-93.2912559,FirstLight Health System,4
873,45.8739484,-95.376048,Alomere Health,3
1501,45.8469352,-119.3088071,Good Shepherd Health Care System,3
1522,45.8469352,-119.3088071,Good Shepherd Health Care System,3
1098,45.8277913,-109.9520609,Pioneer Medical Center,5
2174,45.8257305,-91.8970142,Spooner Health,4
2072,45.8197864,-120.8113923,Klickitat Valley Health,4
941,45.8088485,-96.5012618,Sanford Wheaton Medical Center,4
1090,45.7934842,-108.5187094,St. Vincent Healthcare,2
1088,45.7895369,-108.5129947,Billings Clinic,2
1613,45.7889731,-97.7455514,Marshall County Healthcare Center Avera,5
2133,45.7746807,-92.6867177,Burnett Medical Center,4
1633,45.7719257,-99.6230746,Eureka Community Health Services Avera,5
1630,45.7719257,-99.6230746,Eureka Community Health Services Avera,5
932,45.7458666,-94.9557319,CentraCare Health-Sauk Centre,4
1102,45.7290592,-107.6165006,Big Horn County Memorial Hospital,5
2064,45.7222356,-121.4705789,Skyline Hospital,4
1505,45.7048772,-121.5244749,Providence Hood River Memorial Hospital,3
921,45.6752002,-94.8233206,CentraCare Health-Melrose,4
1096,45.6698613,-111.019934,Bozeman Health,3
1604,45.6574454,-97.05006,Coteau des Prairies Hospital,5
1105,45.6488904,-110.5695015,Livingston HealthCare,4
1513,45.6478212,-118.8122956,CHI St. Anthony Hospital,3
946,45.6465772,-95.3898601,Glacial Ridge Health System,4
1122,45.6430687,-109.2590968,Stillwater Billings Clinic,5
2130,45.6396123,-89.3744692,Ascension St. Mary's Hospital,3
1996,45.6238087,-122.5817083,PeaceHealth Southwest Medical Center,2
1495,45.587237,-121.1644199,Mid-Columbia Medical Center,3
845,45.5753593,-94.1692048,St. Cloud Hospital,2
879,45.564824,-93.2292337,Cambridge Medical Center,4
914,45.5626307,-96.4339118,Essentia Health-Graceville,4
893,45.558484,-93.5900941,Fairview Northland Medical Center,4
1600,45.5460299,-100.4490875,Mobridge Regional Hospital,4
1478,45.543686,-122.6695524,Legacy Emanuel Medical Center,1
2155,45.5308808,-92.0287123,Cumberland Healthcare,4
2145,45.5065323,-91.7595124,Marshfield Medical Center - Rice Lake,4
1477,45.4980323,-122.6855724,OHSU Hospital,1
2191,45.4864422,-89.7339536,Ascension Sacred Heart Hospital,4
1592,45.4630785,-98.4460604,Sanford Aberdeen Medical Center,3
1586,45.4616289,-98.4782727,Avera St. Luke's Hospital,3
1515,45.4565613,-123.8545494,Adventist HealthTillamook,4
2127,45.4547251,-91.1101269,Marshfield Medical Center - Ladysmith,4
1124,45.4529541,-112.1919711,Ruby Valley Medical Center,5
1623,45.4485562,-99.6621299,Bowdle Hospital,5
1504,45.4322382,-117.2846408,Wallowa Memorial Hospital,4
2172,45.4088784,-92.642817,St. Croix Regional Medical Center,4
2151,45.3976123,-91.8392923,Mayo Clinic Health System - Northland in Barron,4
883,45.3736555,-94.7155044,CentraCare Health-Paynesville,4
1518,45.3561046,-119.548743,Pioneer Memorial Hospital,4
1118,45.3519176,-111.732051,Madison Valley Medical Center,5
1608,45.3395444,-97.522175,Sanford Webster Medical Center,5
891,45.321702,-93.0003869,Fairview Lakes Health Services,4
1507,45.3194497,-118.1057308,Grande Ronde Hospital,4
877,45.315343,-96.4456024,Ortonville Area Health Services,4
1498,45.308108,-122.9359413,Providence Newberg Medical Center,4
923,45.3006265,-93.7785989,CentraCare Health-Monticello,4
2192,45.2969166,-92.3609411,Amery Hospital and Clinic,4
2189,45.2969166,-92.3609411,Amery Hospital and Clinic,4
1599,45.2219771,-96.62633,Milbank Area Hospital Avera,5
1123,45.212242,-109.2439608,Beartooth Billings Clinic,5
1101,45.2015928,-112.6472827,Barrett Hospital & HealthCare,5
1493,45.198904,-123.1648534,Willamette Valley Medical Center,4
887,45.1932288,-93.8713418,Buffalo Hospital,4
847,45.1828494,-93.3693598,Mercy Hospital,2
2165,45.1755675,-89.6817637,Ascension Good Samaritan Hospital,4
562,45.1732785,-113.8917555,Steele Memorial Medical Center,4
2193,45.1416889,-89.1396133,Aspirus Langlade Hospital,4
2185,45.1416889,-89.1396133,Aspirus Langlade Hospital,4
2164,45.1358236,-90.3551498,"Aspirus Medford Hospital & Clinics, Inc.",3
868,45.132742,-93.4811604,Maple Grove Hospital,4
861,45.1199948,-95.0460933,Rice Memorial Hospital,3
901,45.1193552,-94.5289583,Meeker Memorial Hospital,4
2167,45.1176605,-92.5551796,Westfields Hospital and Clinic,4
860,45.1064558,-93.2572854,Unity Hospital,4
2143,45.1016917,-91.5016213,Mayo Clinic Health System - Chippewa Valley in Bloomer,4
2137,45.0709216,-87.6480055,Aurora Medical Center - Bay Area,3
874,45.0475288,-92.8175569,Lakeview Hospital,3
818,45.0353548,-84.6755003,Munson Healthcare Otsego Memorial Hospital,4
1622,45.0303906,-99.132972,Faulkton Area Medical Center,5
1634,45.0303906,-99.132972,Faulkton Area Medical Center,5
859,45.0289627,-93.033747,St. John's Hospital,4
959,45.0174813,-96.1872148,Madison Healthcare Services,4
851,45.0145559,-93.323251,North Memorial Health Hospital,1
1627,45.0131801,-99.9471023,Avera Gettysburg Hospital,5
1497,45.0045232,-122.7899875,Legacy Silverton Medical Center,4
1511,44.9861077,-123.9951147,Samaritan North Lincoln Hospital,4
846,44.9725406,-93.2621572,Hennepin Healthcare,1
843,44.9678061,-93.2371084,"University of Minnesota Medical Center, Fairview",2
857,44.9678061,-93.2371084,"University of Minnesota Medical Center, Fairview",3
2086,44.9660256,-89.6676853,"Aspirus Wausau Hospital, Inc.",2
2162,44.9607972,-92.7175678,Hudson Hospital and Clinic,4
890,44.9566548,-93.0952165,Gillette Children's Specialty Healthcare,0
849,44.956335,-93.262145,Children's Hospitals and Clinics of Minnesota,0
848,44.9554954,-93.0954047,Regions Hospital,1
2179,44.9535298,-90.9188588,Ascension Our Lady of Victory Hospital,4
922,44.9529596,-95.7116947,Chippewa County-Montevideo Hospital,4
844,44.9525623,-93.2620166,Abbott Northwestern Hospital,3
2117,44.9496765,-91.3641809,HSHS St. Joseph's Hospital,3
858,44.9490988,-93.1000226,St. Joseph's Hospital,3
866,44.9421443,-93.1087461,Children's Hospitals and Clinics of Minnesota,0
853,44.9416568,-93.1079876,United Hospital,3
1479,44.9325624,-123.0342192,Salem Hospital,2
945,44.931475,-96.065951,Johnson Memorial Health Services,4
854,44.9306363,-93.3621119,Park Nicollet Methodist Hospital,3
878,44.9219843,-92.9764383,Woodwinds Health Campus,4
1484,44.919137,-123.310585,Salem Health West Valley,4
1591,44.9111282,-97.1206301,Prairie Lakes Healthcare System,4
564,44.9090491,-116.1101993,St. Luke's McCall,4
2120,44.8901228,-89.5804571,Ascension Saint Clare's Hospital,3
850,44.8859838,-93.3269645,Fairview Southdale Hospital,3
2180,44.8831315,-91.9015286,Mayo Clinic Health System - Red Cedar in Menomonie,4
886,44.8757643,-94.3728798,Hutchinson Health,4
1602,44.8720893,-98.520204,Community Memorial Hospital,5
2168,44.8652395,-88.1278362,HSHS St. Clare Memorial Hospital,3
2195,44.8647749,-92.6023451,River Falls Area Hospital,4
2190,44.8647749,-92.6023451,River Falls Area Hospital,4
871,44.8431253,-93.7922507,Ridgeview Medical Center,3
2150,44.8326774,-87.3528593,Door County Medical Center,4
2237,44.825804,-108.390286,North Big Horn Hospital District,5
2098,44.8121863,-91.5129352,Mayo Clinic Health System in Eau Claire,2
2241,44.808659,-106.975756,Sheridan Memorial Hospital,2
915,44.8085624,-95.5432569,Granite Falls Health,4
757,44.8078674,-68.7512305,Northern Light Eastern Maine Medical Center,2
1499,44.8051777,-122.7851166,Santiam Hospital,4
1502,44.7950054,-117.8473558,Saint Alphonsus Medical Center - Baker City,4
2099,44.794519,-91.5107268,HSHS Sacred Heart Hospital,3
2173,44.7843891,-88.6178866,ThedaCare Medical Center-Shawano,4
865,44.777675,-94.151892,Glencoe Regional Health Services,3
927,44.7738236,-94.9854247,RC Hospital and Clinics,4
880,44.7721537,-93.5027832,St. Francis Regional Medical Center,3
772,44.7608975,-85.6425236,Munson Medical Center,2
2248,44.7566678,-108.7695719,Powell Valley Healthcare,4
1631,44.7526239,-96.6831104,Sanford Clear Lake Medical Center,5
1626,44.7526239,-96.6831104,Sanford Clear Lake Medical Center,5
864,44.748941,-93.2726657,Fairview Ridges Hospital,3
892,44.747369,-92.8731424,Regina Hospital,4
909,44.7077784,-96.2788822,Sanford Canby Medical Center,4
1311,44.7002947,-73.4691985,The University of Vermont Health Network-Champlain Valley Physicians Hospital,2
2095,44.6780444,-90.1770418,Marshfield Medical Center,2
1322,44.6765499,-74.9823091,Canton-Potsdam Hospital,3
815,44.6675399,-84.7077271,Munson Healthcare Grayling Hospital,4
1510,44.6378738,-121.1208502,St. Charles Madras,4
1492,44.6316664,-123.1164391,Samaritan Albany General Hospital,3
1512,44.6296823,-124.0590056,Samaritan Pacific Communities Hospital,4
2157,44.6205552,-91.9627501,AdventHealth Chippewa,4
948,44.6104689,-94.08512,Ridgeview Sibley Medical Center,4
1483,44.6034591,-123.2522802,Good Samaritan Regional Medical Center,2
2146,44.5776012,-91.2130334,Mayo Clinic Health System - Oakridge in Osseo,4
895,44.5600031,-92.5719671,Mayo Clinic Health System in Red Wing,3
2182,44.5577042,-90.6077707,Marshfield Medical Center - Neillsville,3
1509,44.5510406,-122.907064,Samaritan Lebanon Community Hospital,4
926,44.546252,-93.5744543,Mayo Clinic Health System in New Prague,4
929,44.5365019,-95.1069004,Carris Health - Redwood,4
2125,44.5331501,-88.0661792,HSHS St. Mary's Hospital Medical Center,4
2124,44.5268222,-89.5665679,Ascension St. Michael's Hospital,3
2235,44.5265642,-109.0737845,West Park Hospital,3
1628,44.5200148,-98.9922375,Avera Hand County Memorial Hospital,5
1635,44.5200148,-98.9922375,Avera Hand County Memorial Hospital,5
947,44.507928,-92.9042636,Mayo Clinic Health System in Cannon Falls,4
943,44.5058546,-96.4183893,Hendricks Community Hospital Association,4
2101,44.5021822,-88.0116943,Bellin Hospital,3
2094,44.5013095,-88.012306,HSHS St. Vincent Hospital,2
1593,44.4982456,-103.8606153,Spearfish Regional Hospital,4
1993,44.4797628,-73.1939435,University of Vermont Medical Center,1
2103,44.4745585,-87.9429275,Aurora BayCare Medical Center,2
882,44.4734265,-93.1915393,Northfield Hospital and Clinics,4
965,44.4591532,-92.287246,Mayo Clinic Health System in Lake City,4
953,44.4591532,-92.287246,Mayo Clinic Health System in Lake City,4
888,44.4539882,-93.9148342,Ridgeview Le Sueur Medical Center,4
920,44.4477936,-95.7775519,Avera Marshall Regional Medical Center,3
1506,44.417186,-118.9595551,Blue Mountain Hospital District,4
2257,44.4088726,-104.3740918,Crook County Medical Services District,5
1609,44.4022781,-103.5078485,Sturgis Regional Hospital,5
938,44.3874839,-92.0475139,Saint Elizabeth's Medical Center,4
1629,44.3860427,-97.5611172,Avera De Smet Memorial Hospital,5
1632,44.3860427,-97.5611172,Avera De Smet Memorial Hospital,5
2144,44.3817334,-89.8303048,"Aspirus Riverview Hospital and Clinics, Inc.",3
2166,44.380929,-88.7339124,ThedaCare Medical Center-New London,4
2243,44.3788178,-108.0393602,South Big Horn County Hospital,5
1614,44.3695889,-103.7283717,Lead-Deadwood Regional Hospital,5
2141,44.3644751,-91.3186449,Gundersen Tri-County Memorial,4
1598,44.361392,-98.2107891,Huron Regional Medical Center,4
1588,44.3605019,-100.3421061,Avera St. Mary's Hospital,4
931,44.3509731,-93.9709382,River's Edge Hospital and Clinic,4
2246,44.3503498,-106.7063996,Johnson County Healthcare Center,5
2177,44.3453524,-89.0766887,ThedaCare Medical Center-Waupaca,4
899,44.3137734,-94.4756709,New Ulm Medical Center,4
1514,44.310315,-120.8433541,St. Charles Prineville,4
1589,44.3077988,-96.7682323,Brookings Health System,5
2152,44.303288,-90.8552205,Black River Memorial Hospital,4
955,44.2995695,-94.7287229,Sleepy Eye Medical Center,4
2238,44.2904475,-105.5180669,Campbell County Health,3
902,44.28842,-93.257442,District One Hospital,4
1496,44.2879795,-121.1697308,St. Charles Redmond,3
2105,44.2786207,-88.3936054,ThedaCare Regional Medical Center-Appleton,3
825,44.2751845,-83.5098525,Ascension St. Joseph Hospital,4
952,44.272004,-96.1302505,Avera Tyler Hospital,3
2085,44.2485131,-88.4027376,Ascension Northeast Wisconsin St. Elizabeth Hospital,3
944,44.2464842,-94.9710659,Mayo Clinic Health System in Springfield,4
936,44.232328,-95.6065341,Sanford Tracy Medical Center,4
2108,44.187021,-88.4537599,ThedaCare Regional Medical Center-Neenah,2
2160,44.1835521,-89.2460587,ThedaCare Medical Center - Wild Rose,4
855,44.1636955,-93.9837194,Mayo Clinic Health System in Mankato,3
1249,44.1354006,-72.023245,Cottage Hospital,4
2134,44.1265012,-87.6163906,Aurora Medical Center - Manitowoc County,4
900,44.1114459,-93.2521988,Owatonna Hospital,4
758,44.1021568,-70.2145298,Central Maine Medical Center,2
1480,44.0826431,-123.0279477,PeaceHealth Sacred Heart Medical Center at RiverBend,2
940,44.0816646,-93.5084003,Mayo Clinic Health System in Waseca,4
1619,44.08112,-98.564007,Avera Weskota Memorial Hospital,5
1482,44.0679885,-121.2694821,St. Charles Bend,2
1584,44.0573987,-103.2254116,Rapid City Regional Hospital,2
1490,44.0532993,-123.0036858,McKenzie-Willamette Medical Center,3
1615,44.0495857,-96.5916407,Avera Flandreau Hospital,5
919,44.0488267,-94.4098392,Madelia Community Hospital,4
963,44.0454324,-95.4393322,Sanford Westbrook Medical Center,4
1616,44.039938,-101.6715195,Philip Health Services,5
897,44.0333129,-91.6237888,Winona Health,4
2135,44.0275281,-88.5956277,Aurora Medical Center of Oshkosh,3
